bird_id,species_name,image_path,source_url,source_title,width,height,file_size_mb,source,license,image_number,quality_score
4,Canada Goose,bird_images_wikimedia\bird_04_5_Canada_Goose.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6f/Branta_canadensis_-_Canada_goose_-_Kharkiv_Gorky_Park_-_05.jpg,File:Branta canadensis - Canada goose - Kharkiv Gorky Park - 05.jpg,4608,3072,6.797696113586426,Wikimedia Commons,Free Use (Wikimedia Commons),5,5
5,Carrion Crow,bird_images_wikimedia\bird_05_1_Carrion_Crow.jpg,https://upload.wikimedia.org/wikipedia/commons/8/81/Carrion_crow_%28Corvus_corone%29_head.jpg,File:Carrion crow (Corvus corone) head.jpg,4447,2754,2.2906007766723633,Wikimedia Commons,Free Use (Wikimedia Commons),1,6
5,Carrion Crow,bird_images_wikimedia\bird_05_2_Carrion_Crow.jpg,https://upload.wikimedia.org/wikipedia/commons/1/11/Carrion_Crow_in_Jersey.jpg,File:Carrion Crow in Jersey.jpg,2996,1997,1.3103742599487305,Wikimedia Commons,Free Use (Wikimedia Commons),2,6
5,Carrion Crow,bird_images_wikimedia\bird_05_3_Carrion_Crow.jpg,https://upload.wikimedia.org/wikipedia/commons/4/43/Carrion_crow_02.jpg,File:Carrion crow 02.jpg,4739,3159,2.745311737060547,Wikimedia Commons,Free Use (Wikimedia Commons),3,6
5,Carrion Crow,bird_images_wikimedia\bird_05_4_Carrion_Crow.jpg,https://upload.wikimedia.org/wikipedia/commons/6/67/Carrion_crow_on_a_branch.jpg,File:Carrion crow on a branch.jpg,5472,3648,3.678569793701172,Wikimedia Commons,Free Use (Wikimedia Commons),4,6
5,Carrion Crow,bird_images_wikimedia\bird_05_5_Carrion_Crow.jpg,https://upload.wikimedia.org/wikipedia/commons/6/65/Carrion_crow_calling_01.jpg,File:Carrion crow calling 01.jpg,4740,3160,4.37297248840332,Wikimedia Commons,Free Use (Wikimedia Commons),5,6
6,Coal Tit,bird_images_wikimedia\bird_06_1_Coal_Tit.jpg,https://upload.wikimedia.org/wikipedia/commons/6/62/Cyprus_coal_tit_%28Periparus_ater_cypriotes%29.jpg,File:Cyprus coal tit (Periparus ater cypriotes).jpg,2135,2135,4.330812454223633,Wikimedia Commons,Free Use (Wikimedia Commons),1,6
6,Coal Tit,bird_images_wikimedia\bird_06_2_Coal_Tit.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fd/Svartmeis_%28Periparus_ater%29_Coal_tit.jpg,File:Svartmeis (Periparus ater) Coal tit.jpg,2500,1683,2.763979911804199,Wikimedia Commons,Free Use (Wikimedia Commons),2,6
6,Coal Tit,bird_images_wikimedia\bird_06_3_Coal_Tit.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Coal_tit_%28Periparus_ater%29_2019.jpg,File:Coal tit (Periparus ater) 2019.jpg,5677,3817,3.3990087509155273,Wikimedia Commons,Free Use (Wikimedia Commons),3,6
6,Coal Tit,bird_images_wikimedia\bird_06_4_Coal_Tit.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4d/Baby_Coal_Tit_begging_for_food._Periparus_ater_-_Flickr_-_gailhampshire.jpg,File:Baby Coal Tit begging for food. Periparus ater - Flickr - gailhampshire.jpg,2688,2288,0.6980190277099609,Wikimedia Commons,Free Use (Wikimedia Commons),4,6
6,Coal Tit,bird_images_wikimedia\bird_06_5_Coal_Tit.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a2/Jelova_senica_%28Periparus_ater%29%3B_Coal_Tit.jpg,File:Jelova senica (Periparus ater); Coal Tit.jpg,4608,3456,4.284978866577148,Wikimedia Commons,Free Use (Wikimedia Commons),5,6
7,Common Blackbird,bird_images_wikimedia\bird_07_1_Common_Blackbird.jpg,https://upload.wikimedia.org/wikipedia/commons/6/65/Common_blackbird_%28Turdus_merula%29_chicks_2_days_old.jpg,File:Common blackbird (Turdus merula) chicks 2 days old.jpg,3264,2448,2.4287490844726562,Wikimedia Commons,Free Use (Wikimedia Commons),1,6
7,Common Blackbird,bird_images_wikimedia\bird_07_2_Common_Blackbird.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a9/Common_Blackbird.jpg,File:Common Blackbird.jpg,3105,2070,1.8472614288330078,Wikimedia Commons,Free Use (Wikimedia Commons),2,6
7,Common Blackbird,bird_images_wikimedia\bird_07_3_Common_Blackbird.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Blackbird_female.jpg,File:Blackbird female.jpg,3888,2592,1.4346179962158203,Wikimedia Commons,Free Use (Wikimedia Commons),3,6
7,Common Blackbird,bird_images_wikimedia\bird_07_4_Common_Blackbird.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Turdus_merula_-_Common_blackbird_-_Karatavuk_11.jpg,File:Turdus merula - Common blackbird - Karatavuk 11.jpg,2250,1506,2.313321113586426,Wikimedia Commons,Free Use (Wikimedia Commons),4,6
